Timestamp,Latency (ms),Jitter (ms),Download (Mbps),Upload (Mbps)
1656622594.003106,9.63,31.19,43.39,21.60
1656622709.120747,7.89,2.24,37.08,22.74
1656624518.373826,10.82,13.16,31.21,22.71
1656624632.585402,8.05,4.24,36.57,22.78
1656624753.270283,8.02,2.45,36.83,22.59
1656624873.945166,8.18,2.05,35.51,20.46
1656624986.14204,9.54,1.36,46.68,23.49
1656625109.831424,7.93,3.28,42.75,19.66
1656625223.173383,12.31,6.86,44.36,22.83
1656625343.67997,8.63,2.83,40.61,22.31
1656625477.229055,47.71,2.33,21.53,21.02
1656625588.533192,7.83,2.39,24.83,21.69
1656625717.238945,9.69,1.46,36.26,22.18
1656625837.452996,9.01,2.25,41.09,22.50
1656625951.346405,7.85,2.54,25.67,21.98
1656626071.483921,13.91,2.85,15.18,14.79
1656626188.429297,9.70,3.81,34.28,13.85
1656626313.326603,10.42,2.20,24.07,18.24
1656699444.181151,9.62,2.20,39.61,22.03
1656699509.399366,10.33,19.71,43.91,16.81
1656699624.775478,7.89,1.50,29.79,17.51
1656699758.475772,8.31,1.90,42.30,22.62
1656699877.745849,9.91,4.86,39.46,21.93
1656699981.711307,9.54,6.85,45.31,23.50
1656700115.555555,9.84,0.84,46.99,23.27
1656700227.50411,9.52,4.33,48.31,23.57
1656700358.488994,9.96,2.24,44.57,23.39
1656700476.699869,8.79,6.33,45.78,23.52
1656700595.918342,8.13,3.25,40.70,23.28
1656700711.392179,9.05,2.48,22.07,19.08
1656700830.882656,8.64,5.48,45.05,22.83
1656700949.854865,9.55,1.62,40.77,23.45
1656701072.810353,7.70,50.19,43.85,20.36
1656701186.619705,10.86,1.34,31.76,22.31
1656701308.93231,7.91,1.94,33.08,23.02
1656701430.426999,7.86,1.53,40.27,22.72
1656701556.277988,8.60,4.94,41.68,23.15
1656701670.864381,9.91,1.70,45.30,22.71
1656701792.798385,9.29,3.74,42.86,19.93
1656701908.403908,8.04,2.91,26.67,23.48
1656702029.904944,8.77,3.90,31.05,19.09
1656702154.770737,9.59,3.07,33.94,17.17
1656702270.185627,7.98,1.93,50.07,20.97
1656702385.991934,15.60,3.43,32.49,22.11
1656702506.466897,8.03,2.76,37.75,23.39
1656702622.701226,7.99,3.84,44.25,22.34
1656702748.002934,7.90,2.03,45.60,22.65
1656702870.303773,9.84,2.74,39.67,22.02
1656702990.459189,9.31,1.83,38.77,22.66
1656703118.718031,10.26,7.59,16.76,12.02
1656703224.575631,8.47,3.63,32.76,21.89
1656703358.586873,8.00,2.01,33.76,23.31
1656703478.823278,9.12,0.63,32.80,18.50
1656703592.500183,9.76,3.59,33.26,22.89
1656703716.882938,9.53,3.55,36.29,22.23
1656703827.290748,9.95,2.53,33.16,23.49
1656703949.279725,10.57,61.75,31.51,22.81
1656704070.617944,7.93,0.55,27.05,20.87
1656704193.661964,9.83,4.74,28.81,22.49
1656704309.847504,7.86,12.90,31.73,18.07
1656704434.7007,9.25,2.11,49.40,19.58
1656704552.298909,8.02,3.18,46.12,22.61
1656704667.71436,8.55,4.58,46.44,22.76
1656704788.064692,7.85,2.56,47.15,23.49
1656704906.887295,10.40,2.03,44.26,19.76
1656705031.815118,8.52,7.33,48.28,21.84
1656705153.98819,10.06,2.93,47.99,22.85
1656705272.583292,9.85,1.01,52.10,22.60
1656705391.844221,7.74,2.00,48.47,22.46
1656705507.060888,10.00,9.25,48.98,19.94
1656705637.961094,8.06,3.65,36.97,22.48
1656705754.769183,7.85,1.67,44.46,21.74
1656705868.038535,7.84,1.92,41.33,22.52
1656705991.679141,7.87,3.54,31.27,22.95
1656706112.089101,9.66,0.85,43.17,22.44
1656706238.086542,8.06,2.04,42.57,22.58
1656706357.165847,8.77,1.67,37.79,22.83
